,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,training_stress_scoreâ,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
0,0,2020-07-05,Running,False,Fairfax County Running,1.29,93,00:09:30.1,162,198,2.5,178,189,0 days 00:07:21,0 days 00:06:22,42,36,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,9:30.1,0:00,0.0,0:00,No,02:06.32,2,0.0,6,garmin,0,32.55813953488372,0.9257142857142857,11.972789115646258,8.16326530612245,11.973016736749647,12.933814376118447
1,1,2020-07-07,Running,False,Fairfax County Running,1.81,147,00:13:07,178,198,3.0,178,193,0 days 00:07:15,0 days 00:06:25,58,90,1.25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:07,0:00,0.0,0:00,No,05:43.85,2,0.0,6,garmin,0,32.04419889502763,1.0171428571428571,12.137931034482758,8.275862068965518,12.138154567491252,11.93357892871331
2,2,2020-07-08,Running,False,Fairfax County Running,1.0,106,00:10:17,167,191,2.4,172,228,0 days 00:10:17,0 days 00:04:26,0,0,0.91,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,10:17,0:00,0.0,0:00,No,10:16.72,1,0.0,6,garmin,0,0.0,0.9542857142857143,8.557536466774716,5.834683954619125,8.557536466774716,8.967478333446557
3,3,2020-07-10,Running,False,Fairfax County Running,1.79,121,00:13:11,154,195,2.5,179,193,0 days 00:07:21,0 days 00:06:39,63,88,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:11,0:00,0.0,0:00,No,05:38.95,2,0.0,6,garmin,0,35.19553072625698,0.88,11.972789115646258,8.16326530612245,11.973055107113499,13.605744439901704
4,4,2020-07-13,Running,False,Fairfax County Running,0.97,117,00:11:20,170,186,2.7,158,239,0 days 00:11:42,0 days 00:04:16,7,12,0.87,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,11:20,0:00,0.0,0:00,No,11:20.19,1,0.0,6,garmin,0,7.216494845360825,0.9714285714285714,7.521367521367521,5.128205128205129,7.521374546449206,7.742591444874182
5,5,2020-07-14,Running,False,Fairfax County Running,1.81,105,00:13:33,143,186,2.2,178,187,0 days 00:07:30,0 days 00:06:34,66,88,1.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:33,0:00,0.0,0:00,No,05:50.00,2,0.0,6,garmin,0,36.46408839779006,0.8171428571428572,11.733333333333333,8.0,11.733613134235954,14.359316772666377
6,6,2020-07-16,Running,False,Fairfax County Running,1.81,119,00:13:23,153,197,2.5,178,189,0 days 00:07:23,0 days 00:06:47,74,98,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:23,0:00,0.0,0:00,No,05:53.43,2,0.0,6,garmin,0,40.88397790055249,0.8742857142857143,11.918735891647854,8.126410835214447,11.919093190923471,13.63294972818044
7,7,2020-07-24,Running,False,Fairfax County Running,1.84,136,00:13:41,165,197,2.9,181,193,0 days 00:07:27,0 days 00:06:35,31,54,1.19,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:41,0:00,0.0,0:00,No,06:02.59,2,0.0,6,garmin,0,16.84782608695652,0.9428571428571428,11.812080536912749,8.053691275167784,11.812140670234506,12.528027983582051
8,8,2020-07-28,Running,False,Fairfax County Running,2.52,203,00:20:01,171,200,3.5,177,187,0 days 00:07:57,0 days 00:06:59,102,116,1.14,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,20:01,0:00,0.0,0:00,No,04:21.12,3,0.0,6,garmin,0,40.476190476190474,0.9771428571428571,11.069182389937106,7.547169811320755,11.069507634903768,11.32844348601263
9,9,2020-07-30,Running,False,Fairfax County Running,1.83,143,00:13:37,177,201,3.2,177,187,0 days 00:07:26,0 days 00:06:41,57,86,1.22,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:37,0:00,0.0,0:00,No,06:00.87,2,0.0,6,garmin,0,31.147540983606557,1.0114285714285713,11.838565022421523,8.071748878923767,11.838771011870879,11.704999588007933
10,10,2020-08-04,Running,False,Fairfax County Running,2.2,177,00:17:16,174,201,3.4,177,187,0 days 00:07:51,0 days 00:07:05,79,93,1.16,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,17:16,0:00,0.0,0:00,No,01:38.56,3,0.0,6,garmin,0,35.90909090909091,0.9942857142857143,11.210191082802547,7.643312101910828,11.210450332927168,11.274878208403761
11,11,2020-08-08,Running,False,Fairfax County Running,2.0,151,00:15:27,168,200,3.1,175,183,0 days 00:07:44,0 days 00:06:59,87,93,1.19,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:27,0:00,0.0,0:00,No,07:41.83,2,0.0,6,garmin,0,43.5,0.96,11.379310344827585,7.758620689655173,11.379696524354246,11.85385054620234
12,12,2020-08-11,Running,False,Fairfax County Running,2.52,207,00:19:38,179,199,3.6,172,189,0 days 00:07:48,0 days 00:07:10,66,78,1.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,19:38,0:00,0.0,0:00,No,04:10.18,3,0.0,6,garmin,0,26.19047619047619,1.022857142857143,11.282051282051281,7.6923076923076925,11.282190077219266,11.030074097840064
13,13,2020-08-13,Running,False,Fairfax County Running,1.83,136,00:13:38,173,199,3.1,174,187,0 days 00:07:27,0 days 00:06:53,70,90,1.24,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:38,0:00,0.0,0:00,No,05:57.43,2,0.0,6,garmin,0,38.25136612021858,0.9885714285714285,11.812080536912749,8.053691275167784,11.812390504841277,11.948949932642911
14,14,2020-08-15,Running,False,Fairfax County Running,2.5,179,00:18:44,166,197,3.2,172,185,0 days 00:07:30,0 days 00:06:53,104,100,1.25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,18:44,0:00,0.0,0:00,No,03:52.93,3,0.0,6,garmin,0,41.6,0.9485714285714286,11.733333333333333,8.0,11.733697502766114,12.369861825205241
15,15,2020-08-18,Running,False,Fairfax County Running,2.5,203,00:19:13,179,199,3.6,174,185,0 days 00:07:41,0 days 00:06:54,109,124,1.21,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,19:13,0:00,0.0,0:00,No,03:59.57,3,0.0,6,garmin,0,43.6,1.022857142857143,11.453362255965292,7.809110629067245,11.453752737706985,11.197802955858783
16,16,2020-08-22,Running,False,Fairfax County Running,2.46,179,00:18:30,167,196,3.2,175,187,0 days 00:07:30,0 days 00:06:36,51,85,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,18:30,0:00,0.0,0:00,No,03:36.47,3,0.0,6,garmin,0,20.73170731707317,0.9542857142857143,11.733333333333333,8.0,11.733423779888827,12.295503960961346
17,17,2020-08-25,Running,False,Fairfax County Running,2.32,156,00:17:09,159,196,2.9,175,190,0 days 00:07:23,0 days 00:06:44,86,96,1.24,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,17:09,0:00,0.0,0:00,No,02:24.51,3,0.0,6,garmin,0,37.06896551724138,0.9085714285714286,11.918735891647854,8.126410835214447,11.919029621398675,13.118428828583447
18,18,2020-08-29,Running,False,Fairfax County Running,2.01,154,00:14:40,176,202,3.2,178,191,0 days 00:07:18,0 days 00:06:42,70,107,1.24,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,14:40,0:00,0.0,0:00,No,00:03.71,3,0.0,6,garmin,0,34.82587064676617,1.0057142857142858,12.054794520547945,8.219178082191782,12.055056737770581,11.986562097215065
19,19,2020-09-01,Running,False,Fairfax County Running,2.01,158,00:15:07,177,202,3.1,173,183,0 days 00:07:32,0 days 00:06:31,40,110,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:07,0:00,0.0,0:00,No,00:02.95,3,0.0,6,garmin,0,19.900497512437813,1.0114285714285713,11.681415929203538,7.964601769911504,11.681498899754203,11.549504561903873
20,20,2020-09-05,Running,False,Fairfax County Running,2.05,152,00:15:02,170,190,3.0,174,190,0 days 00:07:21,0 days 00:06:51,42,64,1.26,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:02,0:00,0.0,0:00,No,00:18.82,3,0.0,6,garmin,0,20.48780487804878,0.9714285714285714,11.972789115646258,8.16326530612245,11.97287924924602,12.325022756576786
21,21,2020-09-08,Running,False,Fairfax County Running,2.03,150,00:14:33,171,197,3.1,175,191,0 days 00:07:11,0 days 00:06:26,45,65,1.28,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,14:33,0:00,0.0,0:00,No,00:11.63,3,0.0,6,garmin,0,22.167487684729068,0.9771428571428571,12.25058004640371,8.352668213457076,12.25068801310924,12.53725381458548
22,22,2020-09-12,Running,False,Fairfax County Running,1.82,136,00:13:16,165,193,2.7,174,187,0 days 00:07:16,0 days 00:06:30,40,59,1.27,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:16,0:00,0.0,0:00,No,05:50.96,2,0.0,6,garmin,0,21.978021978021978,0.9428571428571428,12.110091743119265,8.256880733944953,12.110196655059285,12.844147967487121
23,23,2020-09-15,Running,False,Fairfax County Running,2.07,147,00:15:19,156,189,2.6,173,185,0 days 00:07:24,0 days 00:06:52,67,90,1.26,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:19,0:00,0.0,0:00,No,00:31.41,3,0.0,6,garmin,0,32.36714975845411,0.8914285714285715,11.89189189189189,8.108108108108107,11.892115330360511,13.340513992391598
24,24,2020-09-16,Running,False,Fairfax County Running,1.83,131,00:13:56,151,174,2.3,172,179,0 days 00:07:37,0 days 00:06:56,72,86,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,13:56,0:00,0.0,0:00,No,06:08.50,2,0.0,6,garmin,0,39.34426229508197,0.8628571428571429,11.553610503282275,7.87746170678337,11.553931260669065,13.39031768620587
25,25,2020-09-20,Running,False,Fairfax County Running,2.02,139,00:15:09,148,174,2.4,174,185,0 days 00:07:31,0 days 00:06:40,31,72,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:09,0:00,0.0,0:00,No,00:07.21,3,0.0,6,garmin,0,15.346534653465346,0.8457142857142858,11.707317073170731,7.982261640798226,11.707366524648187,13.843169877117788
26,26,2020-09-22,Running,False,Fairfax County Running,2.06,110,00:15:33,130,155,1.5,177,187,0 days 00:07:32,0 days 00:07:00,45,20,1.21,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:33,0:00,0.0,0:00,No,00:28.01,3,0.0,6,garmin,0,21.844660194174757,0.7428571428571429,11.681415929203538,7.964601769911504,11.681515903043925,15.725117561789899
27,27,2020-09-27,Running,False,Fairfax County Running,2.03,174,00:15:00,178,198,3.2,175,185,0 days 00:07:23,0 days 00:06:42,60,82,1.25,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:00,0:00,0.0,0:00,No,00:16.52,3,0.0,6,garmin,0,29.55665024630542,1.0171428571428571,11.918735891647854,8.126410835214447,11.918922632518072,11.718041913992487
28,28,2020-10-01,Running,False,Fairfax County Running,2.02,172,00:14:49,180,198,3.2,173,185,0 days 00:07:19,0 days 00:06:45,60,87,1.27,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,14:49,0:00,0.0,0:00,No,00:10.69,3,0.0,6,garmin,0,29.702970297029704,1.0285714285714285,12.027334851936219,8.200455580865604,12.027525164687374,11.69342724344606
29,29,2020-10-03,Running,False,Fairfax County Running,2.1,169,00:15:08,176,201,3.2,173,191,0 days 00:07:12,0 days 00:06:32,58,65,1.29,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:08,0:00,0.0,0:00,No,00:41.39,3,0.0,6,garmin,0,27.619047619047617,1.0057142857142858,12.222222222222221,8.333333333333334,12.222389433960572,12.152944039449432
30,30,2020-10-04,Running,False,Fairfax County Running,2.1,160,00:15:52,166,199,3.0,173,185,0 days 00:07:33,0 days 00:06:18,47,49,1.23,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,15:52,0:00,0.0,0:00,No,00:42.08,3,0.0,6,garmin,0,22.38095238095238,0.9485714285714286,11.655629139072849,7.9470198675496695,11.655733850253254,12.287671227676622
