Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress ScoreÂ®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-04-21 11:57:37,false,"Fairfax County Running","1.66","61","00:12:03","152","168","2.0","178","188","7:15","6:19","29","52","1.22","9.0","11.3","173","49.2% L / 50.8% R","0.0","0.0","0.0","--","--","--","12:03","0:00","0.0","0:00","No","04:31.74","2","0.0"
Running,2020-04-20 18:17:09,false,"Fairfax County Running","2.89","256","00:56:00","103","132","1.3","119","228","19:22","16:55","103","86","0.70","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","56:00","0:00","0.0","0:00","No","16:49.95","3","0.0"
Running,2020-04-19 14:16:10,false,"Fairfax County Running","1.65","58","00:11:34","143","188","1.9","179","188","7:01","6:27","36","58","1.26","8.7","11.0","171","48.9% L / 51.1% R","0.0","0.0","0.0","--","--","--","11:34","0:00","0.0","0:00","No","04:22.68","2","0.0"
Running,2020-04-17 14:02:43,false,"Fairfax County Running","1.65","121","00:11:48","169","194","3.0","180","191","7:08","6:18","190","141","1.20","9.2","10.5","179","49.4% L / 50.6% R","0.0","0.0","0.0","--","--","--","11:48","0:00","0.0","0:00","No","04:25.31","2","0.0"
Running,2020-04-15 14:28:17,false,"Fairfax County Running","1.66","113","00:11:45","163","191","2.8","183","194","7:05","6:15","44","65","1.20","8.8","10.6","171","49.8% L / 50.2% R","0.0","0.0","0.0","--","--","--","11:45","0:00","0.0","0:00","No","04:19.24","2","0.0"
Running,2020-04-14 12:12:35,false,"Fairfax County Running","1.67","97","00:11:59","165","189","2.5","181","256","7:10","6:17","42","65","1.20","9.1","10.8","179","49.6% L / 50.4% R","0.0","0.0","0.0","--","--","--","11:59","0:00","0.0","0:00","No","04:28.60","2","0.0"
Running,2020-04-12 13:12:08,false,"Fairfax County Running","0.23","11","00:01:24.3","171","180","1.3","180","201","6:03","5:36","28","28","1.28","9.2","9.8","177","49.2% L / 50.8% R","0.0","0.0","0.0","--","--","--","1:24.3","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-04-12 12:35:18,false,"Fairfax County Running","3.26","158","00:25:51","153","182","2.3","178","194","7:55","6:56","122","122","1.11","9.6","10.8","181","48.9% L / 51.1% R","0.0","0.0","0.0","--","--","--","25:51","0:00","0.0","0:00","No","02:00.47","4","0.0"
Running,2020-04-08 13:15:33,false,"Fairfax County Running","1.65","88","00:11:44","161","192","2.3","179","189","7:07","6:13","40","65","1.23","8.8","10.6","188","49.2% L / 50.8% R","0.0","0.0","0.0","--","--","--","11:44","0:00","0.0","0:00","No","04:23.64","2","0.0"
Running,2020-04-07 13:44:12,false,"Fairfax County Running","1.89","78","00:14:32","150","182","1.9","178","191","7:42","6:45","81","85","1.14","9.4","10.9","182","49.6% L / 50.4% R","0.0","0.0","0.0","--","--","--","14:32","0:00","0.0","0:00","No","06:43.51","2","0.0"
Running,2020-04-06 12:48:07,false,"Fairfax County Running","1.66","75","00:11:49","156","182","2.0","179","191","7:07","6:09","41","64","1.23","9.1","11.0","180","49.0% L / 51.0% R","0.0","0.0","0.0","--","--","--","11:49","0:00","0.0","0:00","No","04:22.71","2","0.0"
Running,2020-04-05 13:46:06,false,"Fairfax County Running","1.65","63","00:11:37","153","184","1.9","179","200","7:02","6:13","39","62","1.22","8.9","10.8","181","49.2% L / 50.8% R","0.0","0.0","0.0","--","--","--","11:37","0:00","0.0","0:00","No","04:26.94","2","0.0"
Running,2020-04-04 12:47:45,false,"Fairfax County Running","1.66","72","00:12:10","152","179","2.0","179","191","7:20","6:28","30","52","1.19","9.0","10.8","179","49.6% L / 50.4% R","0.0","0.0","0.0","--","--","--","12:10","0:00","0.0","0:00","No","04:27.01","2","0.0"
Running,2020-04-03 16:11:09,false,"Fairfax County Running","0.72","36","00:05:13.9","145","160","1.6","179","188","7:16","6:41","20","39","1.21","8.8","10.8","177","48.7% L / 51.3% R","0.0","0.0","0.0","--","--","--","5:13.9","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-04-02 11:23:15,false,"Fairfax County Running","0.24","12","00:01:35.8","161","189","1.2","184","215","6:47","6:17","28","28","1.24","9.1","10.5","179","49.8% L / 50.2% R","0.0","0.0","0.0","--","--","--","1:35.8","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-04-02 11:03:01,false,"Fairfax County Running","1.37","120","00:10:18","185","195","3.1","178","185","7:31","6:34","28","54","1.18","9.5","11.1","183","49.4% L / 50.6% R","0.0","0.0","0.0","--","--","--","10:18","0:00","0.0","0:00","No","02:30.75","2","0.0"
Running,2020-03-30 13:21:11,false,"Fairfax County Running","1.67","138","00:11:59","182","199","3.2","180","210","7:12","6:29","27","50","1.23","9.2","11.4","175","49.5% L / 50.5% R","0.0","0.0","0.0","--","--","--","11:59","0:00","0.0","0:00","No","04:34.04","2","0.0"
Running,2020-03-29 13:21:14,false,"Fairfax County Running","1.66","68","00:12:34","147","167","2.0","179","195","7:33","6:47","31","58","1.16","9.4","10.9","178","49.5% L / 50.5% R","0.0","0.0","0.0","--","--","--","12:34","0:00","0.0","0:00","No","04:51.57","2","0.0"
Running,2020-03-27 13:31:23,false,"Fairfax County Running","0.19","8","00:01:21.9","145","150","1.1","181","187","7:11","6:53","--","12","1.23","8.6","10.8","177","49.1% L / 50.9% R","0.0","0.0","0.0","--","--","--","1:21.9","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-03-27 13:12:56,false,"Fairfax County Running","1.65","94","00:12:18","160","191","2.3","179","192","7:28","6:36","29","55","1.18","9.3","11.3","186","49.6% L / 50.4% R","0.0","0.0","0.0","--","--","--","12:18","0:00","0.0","0:00","No","04:34.37","2","0.0"
Running,2020-03-26 13:59:57,false,"Fairfax County Running","1.68","94","00:12:22","160","192","2.3","178","186","7:23","6:40","42","68","1.19","9.2","11.2","187","49.0% L / 51.0% R","0.0","0.0","0.0","--","--","--","12:22","0:00","0.0","0:00","No","04:56.02","2","0.0"
Running,2020-03-24 14:16:46,false,"Fairfax County Running","1.82","79","00:12:30","153","186","2.2","177","188","6:53","4:15","3,477","3,518","1.26","8.9","11.0","179","49.8% L / 50.3% R","0.0","0.0","0.0","--","--","--","12:30","0:00","0.0","0:00","No","05:50.66","2","0.0"
Running,2020-03-19 13:12:53,false,"Fairfax County Running","1.68","91","00:12:50","152","177","2.1","177","188","7:38","6:43","46","70","1.18","9.7","11.4","176","49.1% L / 50.9% R","0.0","0.0","0.0","--","--","--","12:50","0:00","0.0","0:00","No","05:07.14","2","0.0"
Running,2020-03-18 13:49:00,false,"Fairfax County Running","1.00","57","00:07:47.7","150","162","1.8","171","188","7:46","6:46","11","55","1.16","9.0","10.6","203","49.0% L / 51.0% R","0.0","0.0","0.0","--","--","--","7:47.7","0:00","0.0","0:00","No","00:02.12","2","0.0"
Running,2020-03-17 13:53:00,false,"Fairfax County Running","1.65","71","00:12:12","147","158","1.9","177","191","7:25","6:34","31","50","1.19","9.3","11.2","177","49.9% L / 50.1% R","0.0","0.0","0.0","--","--","--","12:12","0:00","0.0","0:00","No","04:33.11","2","0.0"
Running,2020-03-16 12:29:59,false,"Fairfax County Running","1.65","99","00:12:56","142","170","2.2","174","187","7:51","6:51","47","70","1.13","9.5","11.0","177","49.0% L / 51.0% R","0.0","0.0","0.0","--","--","--","12:56","0:00","0.0","0:00","No","04:51.23","2","0.0"
Running,2020-03-14 13:21:07,false,"Fairfax County Running","1.64","75","00:12:40","143","156","1.8","177","186","7:43","6:44","40","68","1.13","9.6","10.9","185","49.6% L / 50.4% R","0.0","0.0","0.0","--","--","--","12:40","0:00","0.0","0:00","No","04:36.93","2","0.0"
Running,2020-03-13 13:17:06,false,"Fairfax County Running","1.88","124","00:14:19","156","182","2.7","177","204","7:36","6:35","57","70","1.16","9.3","10.8","183","48.9% L / 51.1% R","0.0","0.0","0.0","--","--","--","14:19","0:00","0.0","0:00","No","06:17.32","2","0.0"
Running,2020-03-12 13:59:54,false,"Fairfax County Running","1.88","104","00:14:21","157","187","2.2","176","194","7:37","6:41","36","91","1.19","9.2","11.1","181","49.8% L / 50.2% R","0.0","0.0","0.0","--","--","--","14:21","0:00","0.0","0:00","No","06:25.87","2","0.0"
Running,2020-03-10 14:25:01,false,"Fairfax County Running","1.63","84","00:12:39","150","179","2.1","176","184","7:46","6:47","27","68","1.15","9.1","10.6","184","49.8% L / 50.2% R","0.0","0.0","0.0","--","--","--","12:39","0:00","0.0","0:00","No","04:37.15","2","0.0"
Running,2020-03-09 12:21:18,false,"Fairfax County Running","1.91","72","00:14:51","145","164","1.8","178","194","7:48","6:53","29","50","1.14","9.6","10.9","183","49.5% L / 50.5% R","0.0","0.0","0.0","--","--","--","14:51","0:00","0.0","0:00","No","06:45.68","2","0.0"
Running,2020-03-08 13:44:39,false,"Fairfax County Running","0.26","18","00:01:54.8","172","195","1.3","182","195","7:15","6:50","25","31","1.21","8.3","10.2","185","50.3% L / 49.7% R","0.0","0.0","0.0","--","--","--","1:54.8","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2020-03-08 13:25:48,false,"Fairfax County Running","1.64","85","00:12:58","147","179","2.0","174","184","7:53","7:00","9","58","1.15","9.4","10.8","190","49.8% L / 50.2% R","0.0","0.0","0.0","--","--","--","12:58","0:00","0.0","0:00","No","04:53.18","2","0.0"
Running,2020-03-05 12:20:48,false,"Fairfax County Running","1.50","86","00:11:47","149","178","2.1","174","183","7:50","6:45","39","61","1.15","9.8","11.1","186","49.6% L / 50.4% R","0.0","0.0","0.0","--","--","--","11:47","0:00","0.0","0:00","No","03:47.39","2","0.0"
Treadmill Running,2020-03-04 07:45:39,false,"Treadmill Running","1.52","35","00:12:33","150","172","2.3","170","192","8:15","7:04","--","--","1.15","10.1","11.8","192","50.2% L / 49.8% R","0.0","0.0","0.0","--","--","--","12:33","0:00","0.0","0:00","No","04:00.84","2","0.0"
Treadmill Running,2020-03-03 08:45:22,false,"Treadmill Running","0.67","95","00:13:09","144","169","1.7","147","256","19:30","7:39","--","--","1.02","8.7","8.5","330","52.0% L / 48.0% R","0.0","0.0","0.0","--","--","--","13:09","0:00","0.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2020-03-02 08:45:07,false,"Treadmill Running","0.84","57","00:06:54.7","164","189","2.0","167","176","8:16","6:58","--","--","1.17","10.2","12.4","193","49.8% L / 50.2% R","0.0","0.0","0.0","--","--","--","6:54.7","0:00","0.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2020-02-28 08:45:53,false,"Treadmill Running","0.54","46","00:04:43.5","155","172","1.7","172","256","8:46","7:22","--","--","1.10","9.9","11.4","208","50.9% L / 49.1% R","0.0","0.0","0.0","--","--","--","4:43.5","0:00","0.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2020-02-27 08:44:33,false,"Treadmill Running","1.01","67","00:08:28.8","160","182","2.0","168","178","8:22","7:16","--","--","1.14","10.6","12.5","197","50.2% L / 49.8% R","0.0","0.0","0.0","--","--","--","8:28.8","0:00","0.0","0:00","No","00:05.41","2","0.0"
Treadmill Running,2020-02-26 09:25:00,false,"Treadmill Running","0.63","53","00:05:55.4","162","183","1.7","165","198","9:28","7:50","--","--","1.14","9.8","11.2","218","51.1% L / 48.9% R","0.0","0.0","0.0","--","--","--","5:55.4","0:00","0.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2020-02-25 08:45:23,false,"Treadmill Running","0.98","53","00:07:52.9","162","184","1.9","169","179","8:02","6:57","--","--","1.18","10.3","12.4","193","49.3% L / 50.7% R","0.0","0.0","0.0","--","--","--","7:52.9","0:00","0.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2020-02-24 08:47:37,false,"Treadmill Running","1.00","63","00:08:18.4","156","185","2.0","168","178","8:18","7:05","--","--","1.16","10.4","12.2","198","50.1% L / 49.9% R","0.0","0.0","0.0","--","--","--","8:18.4","0:00","0.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2020-02-21 08:45:44,false,"Treadmill Running","0.33","28","00:02:55.1","153","174","1.6","167","256","8:45","7:35","--","--","1.09","10.6","11.5","218","49.2% L / 50.8% R","0.0","0.0","0.0","--","--","--","2:55.1","0:00","0.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2020-02-20 08:44:48,false,"Treadmill Running","0.55","59","00:08:47.6","149","179","1.6","147","183","15:53","7:09","--","--","1.11","8.2","9.8","320","49.9% L / 50.1% R","0.0","0.0","0.0","--","--","--","8:47.6","0:00","0.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2020-02-19 08:55:15,false,"Treadmill Running","1.01","28","00:08:19.8","160","180","1.0","169","175","8:17","7:09","--","--","1.16","10.2","12.1","199","50.0% L / 50.0% R","0.0","0.0","0.0","--","--","--","8:19.8","0:00","0.0","0:00","No","00:02.30","2","0.0"
Treadmill Running,2020-02-18 08:46:48,false,"Treadmill Running","1.07","178","00:20:38","159","189","2.5","147","256","19:22","7:14","--","--","0.98","7.3","8.2","313","49.7% L / 50.3% R","0.0","0.0","0.0","--","--","--","20:38","0:00","0.0","0:00","No","07:59.90","2","0.0"
Treadmill Running,2020-02-17 08:46:20,false,"Treadmill Running","0.51","40","00:03:55.3","172","185","1.7","171","181","7:45","6:53","--","--","1.20","9.7","11.9","188","50.0% L / 50.0% R","0.0","0.0","0.0","--","--","--","3:55.3","0:00","0.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2020-02-14 08:45:25,false,"Treadmill Running","0.60","38","00:04:35.9","157","177","1.6","174","182","7:42","6:43","--","--","1.21","9.1","11.3","190","50.0% L / 50.0% R","0.0","0.0","0.0","--","--","--","4:35.9","0:00","0.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2020-02-13 08:43:53,false,"Treadmill Running","1.01","41","00:08:09.1","154","181","1.4","170","179","8:05","7:01","--","--","1.17","10.5","12.4","196","50.4% L / 49.6% R","0.0","0.0","0.0","--","--","--","8:09.1","0:00","0.0","0:00","No","00:03.34","2","0.0"
Treadmill Running,2020-02-12 08:45:55,false,"Treadmill Running","0.49","15","00:04:08.8","138","165","1.0","167","182","8:30","7:07","--","--","1.20","9.7","11.9","200","49.8% L / 50.2% R","0.0","0.0","0.0","--","--","--","4:08.8","0:00","0.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2020-02-11 10:13:31,false,"Treadmill Running","0.92","32","00:07:33.8","157","180","1.4","170","181","8:13","7:12","--","--","1.15","10.4","12.1","194","50.3% L / 49.7% R","0.0","0.0","0.0","--","--","--","7:33.8","0:00","0.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2020-02-10 08:43:58,false,"Treadmill Running","1.42","79","00:12:09","159","186","2.0","170","181","8:35","7:26","--","--","1.11","10.6","11.7","196","49.8% L / 50.2% R","0.0","0.0","0.0","--","--","--","12:09","0:00","0.0","0:00","No","03:20.97","2","0.0"
Treadmill Running,2020-02-07 08:43:04,false,"Treadmill Running","0.25","21","00:02:16.5","150","170","1.3","168","171","9:11","8:06","--","--","1.04","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","2:16.5","0:00","0.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2020-02-05 08:46:23,false,"Treadmill Running","1.04","81","00:12:22","156","180","2.3","165","256","11:51","6:45","--","--","1.11","8.8","10.3","235","50.2% L / 49.8% R","0.0","0.0","0.0","--","--","--","12:22","0:00","0.0","0:00","No","00:28.06","2","0.0"
Treadmill Running,2020-02-04 08:44:35,false,"Treadmill Running","1.00","79","00:08:36.2","144","173","1.9","169","185","8:36","6:53","--","--","1.10","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","8:36.2","0:00","0.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2020-02-03 08:43:32,false,"Treadmill Running","0.70","67","00:05:50.8","174","196","2.3","168","181","8:19","6:58","--","--","1.14","11.2","12.5","194","49.7% L / 50.3% R","0.0","0.0","0.0","--","--","--","5:50.8","0:00","0.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2020-01-31 08:47:25,false,"Treadmill Running","0.63","111","00:12:19","152","193","2.1","152","256","19:28","7:02","--","--","1.00","8.5","9.6","281","49.6% L / 50.4% R","0.0","0.0","0.0","--","--","--","12:19","0:00","0.0","0:00","No","00:00.00","1","0.0"
Treadmill Running,2020-01-30 08:41:57,false,"Treadmill Running","1.12","118","00:11:16","171","194","2.7","165","178","10:02","7:26","--","--","1.12","11.2","12.6","207","49.6% L / 50.4% R","0.0","0.0","0.0","--","--","--","11:16","0:00","0.0","0:00","No","00:56.15","2","0.0"
Treadmill Running,2020-01-27 08:43:47,false,"Treadmill Running","1.02","98","00:08:31.4","186","198","2.6","166","175","8:24","7:14","--","--","1.15","11.1","12.9","198","49.4% L / 50.6% R","0.0","0.0","0.0","--","--","--","8:31.4","0:00","0.0","0:00","No","00:07.85","2","0.0"
Treadmill Running,2020-01-23 09:29:19,false,"Treadmill Running","1.29","125","00:15:19","163","194","2.4","154","256","11:50","7:14","--","--","1.09","10.1","11.1","264","50.0% L / 50.0% R","0.0","0.0","0.0","--","--","--","15:19","0:00","0.0","0:00","No","05:40.97","2","0.0"
Running,2020-01-12 13:46:50,false,"Fairfax County Running","1.59","160","00:12:08","189","205","3.5","176","188","7:39","6:41","45","70","1.16","9.5","10.8","205","49.8% L / 50.3% R","0.0","0.0","0.0","--","--","--","12:08","0:00","0.0","0:00","No","04:13.63","2","0.0"
Running,2020-01-02 13:26:41,false,"Fairfax County Running","1.61","133","00:12:48","176","196","2.8","179","188","7:57","7:30","40","65","1.09","9.6","10.4","191","49.5% L / 50.5% R","0.0","0.0","0.0","--","--","--","12:48","0:00","0.0","0:00","No","04:48.16","2","0.0"
Running,2019-12-28 13:36:12,false,"Fairfax County Running","1.56","168","00:12:22","187","203","3.4","177","188","7:54","7:02","47","70","1.12","9.3","10.3","199","50.0% L / 50.0% R","0.0","0.0","0.0","--","--","--","12:22","0:00","0.0","0:00","No","04:22.34","2","0.0"
Treadmill Running,2019-12-21 11:55:41,false,"Treadmill Intervals","2.04","190","00:18:09","150","156","2.4","167","175","8:53","7:25","--","--","1.08","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","18:09","0:00","0.0","0:00","No","00:47.88","3","0.0"
Running,2019-12-16 15:36:12,false,"Blacksburg Running","1.79","155","00:13:42","157","188","2.5","175","189","7:39","6:20","116","111","1.20","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","13:42","0:00","0.0","0:00","No","06:02.73","2","0.0"
Running,2019-12-15 15:01:56,false,"Blacksburg Running","1.81","147","00:12:52","159","189","2.5","179","195","7:06","5:31","74","108","1.27","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","12:52","0:00","0.0","0:00","No","05:22.36","2","0.0"
Running,2019-12-12 13:09:11,false,"Blacksburg Running","1.45","135","00:10:59","168","187","2.5","176","189","7:36","6:17","39","76","1.20","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","10:59","0:00","0.0","0:00","No","03:15.91","2","0.0"
Running,2019-11-26 13:54:56,false,"Fairfax County Running","1.59","123","00:11:45","149","191","2.2","179","192","7:24","6:38","49","72","1.21","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","11:45","0:00","0.0","0:00","No","04:14.26","2","0.0"
Treadmill Running,2019-11-24 18:13:12,false,"Treadmill Running","1.12","126","00:09:37.0","175","199","2.7","166","170","8:37","7:21","--","--","1.13","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","9:37.0","0:00","0.0","0:00","No","01:08.87","2","0.0"
Running,2019-11-08 13:47:05,false,"Blacksburg Running","1.31","61","00:09:30.6","116","127","1.1","179","193","7:15","5:56","62","97","1.24","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","9:30.6","0:00","0.0","0:00","No","02:07.11","2","0.0"
Running,2019-11-06 13:09:12,false,"Blacksburg Running","1.32","109","00:09:34.9","154","193","2.1","178","191","7:15","6:22","61","95","1.25","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","9:34.9","0:00","0.0","0:00","No","02:13.50","2","0.0"
Running,2019-11-06 02:29:35,false,"Blacksburg Running","10.48","458","10:20:38","83","122","1.0","118","138","59:13","10:39","45","51","0.08","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","10:20:38","0:00","0.0","0:00","No","11:57.60","11","0.0"
Running,2019-11-02 14:21:23,false,"Blacksburg Running","1.33","89","00:09:43.7","137","166","1.6","178","193","7:18","6:09","38","79","1.24","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","9:43.7","0:00","0.0","0:00","No","02:14.54","2","0.0"
Running,2019-11-01 15:37:34,false,"Blacksburg Running","1.51","126","00:10:49","159","209","2.4","176","191","7:11","5:50","70","103","1.27","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","10:49","0:00","0.0","0:00","No","03:32.81","2","0.0"
Running,2019-10-25 14:25:41,false,"Blacksburg Running","1.50","110","00:10:27","149","174","2.1","179","193","6:58","5:56","54","90","1.29","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","10:27","0:00","0.0","0:00","No","03:18.03","2","0.0"
Running,2019-10-19 11:59:12,false,"Blacksburg Running","1.79","155","00:12:47","165","191","2.6","179","197","7:09","6:07","102","88","1.26","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","12:47","0:00","0.0","0:00","No","05:37.14","2","0.0"
Running,2019-10-18 13:30:27,false,"Blacksburg Running","1.35","88","00:09:18.9","140","183","1.8","182","195","6:55","6:13","52","90","1.28","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","9:18.9","0:00","0.0","0:00","No","02:20.82","2","0.0"
Running,2019-10-13 09:55:35,false,"Huntley Running","1.65","153","00:12:46","166","191","2.7","180","189","7:43","6:49","20","23","1.16","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","12:46","0:00","0.0","0:00","No","04:57.82","2","0.0"
Running,2019-10-08 12:06:44,false,"Blacksburg Running","1.34","140","00:11:25","167","185","2.5","180","197","8:31","6:54","75","38","1.05","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","11:25","0:00","0.0","0:00","No","02:35.34","2","0.0"
Running,2019-10-08 10:35:25,false,"Blacksburg Running","1.38","112","00:10:03","155","187","2.2","182","193","7:16","6:02","46","87","1.22","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","10:03","0:00","0.0","0:00","No","02:42.21","2","0.0"
Running,2019-10-07 12:35:37,false,"Blacksburg Running","1.37","113","00:09:50.1","159","192","2.2","181","244","7:11","6:13","43","81","1.24","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","9:50.1","0:00","0.0","0:00","No","02:30.82","2","0.0"
Running,2019-10-05 13:43:09,false,"Blacksburg Running","3.01","202","00:22:42","137","163","2.0","182","193","7:32","6:32","179","169","1.17","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","22:42","0:00","0.0","0:00","No","00:07.08","4","0.0"
Running,2019-10-04 10:12:10,false,"Blacksburg Running","1.37","102","00:09:54.1","147","189","2.0","183","197","7:15","6:15","57","89","1.21","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","9:54.1","0:00","0.0","0:00","No","02:30.11","2","0.0"
Running,2019-10-02 14:13:37,false,"Blacksburg Running","2.75","242","00:19:41","168","194","3.1","181","193","7:10","6:07","126","141","1.24","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","19:41","0:00","0.0","0:00","No","05:20.18","3","0.0"
Running,2019-09-28 11:56:20,false,"Blacksburg Running","1.31","111","00:09:14.5","164","199","2.3","182","200","7:04","5:39","50","89","1.25","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","9:14.5","0:00","0.0","0:00","No","02:04.05","2","0.0"
Running,2019-09-27 12:14:10,false,"Blacksburg Running","1.31","100","00:09:19.4","152","193","2.1","180","193","7:07","5:56","54","85","1.26","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","9:19.4","0:00","0.0","0:00","No","02:04.99","2","0.0"
Running,2019-09-25 11:35:42,false,"Blacksburg Running","1.34","107","00:09:35.9","156","185","2.2","178","189","7:10","5:45","45","85","1.26","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","9:35.9","0:00","0.0","0:00","No","02:19.43","2","0.0"
Running,2019-09-22 12:31:18,false,"Blacksburg Running","1.96","200","00:14:36","181","205","3.3","179","187","7:27","6:36","90","118","1.21","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","14:36","0:00","0.0","0:00","No","06:59.01","2","0.0"
Running,2019-09-21 12:43:55,false,"Blacksburg Running","1.11","97","00:08:22.6","159","187","2.1","181","192","7:31","6:47","82","34","1.18","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","8:22.6","0:00","0.0","0:00","No","00:50.15","2","0.0"
Running,2019-09-21 11:40:24,false,"Blacksburg Running","1.38","97","00:09:57.9","141","158","1.8","181","192","7:14","6:14","65","99","1.23","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","9:57.9","0:00","0.0","0:00","No","02:35.90","2","0.0"
Running,2019-09-20 13:29:09,false,"Blacksburg Running","1.35","111","00:09:45.4","157","183","2.2","182","191","7:12","6:25","50","90","1.23","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","9:45.4","0:00","0.0","0:00","No","02:28.01","2","0.0"
